,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
267,2020-01-06,91.58999633789062,93.05999755859375,90.87999725341797,93.02999877929688,3431600,0,0
268,2020-01-07,92.61000061035156,93.38999938964844,91.7699966430664,91.93000030517578,2969000,0,0
269,2020-01-08,91.94999694824219,91.94999694824219,89.79000091552734,89.79000091552734,5911500,0,0
270,2020-01-09,89.2699966430664,91.16000366210938,89.12000274658203,91.05999755859375,4131400,0,0
271,2020-01-10,91.36000061035156,91.9800033569336,90.63999938964844,91.3499984741211,2682400,0,0
272,2020-01-13,90.76000213623047,91.5199966430664,90.45999908447266,90.7699966430664,3509100,0,0
273,2020-01-14,89.83000183105469,90.7300033569336,88.62000274658203,90.56999969482422,4549100,0,0
274,2020-01-15,90.04000091552734,90.91999816894531,89.86000061035156,90.75,3945100,0,0
275,2020-01-16,91.16999816894531,91.91999816894531,90.83000183105469,91.08000183105469,2141900,0,0
276,2020-01-17,91.0,91.7300033569336,90.87000274658203,91.55000305175781,2447300,0,0
277,2020-01-21,91.23999786376953,91.55000305175781,89.44999694824219,89.5,9623800,0,0
278,2020-01-22,89.95999908447266,90.75,89.69000244140625,89.87000274658203,3153500,0,0
279,2020-01-23,89.19999694824219,89.55000305175781,87.91000366210938,87.94000244140625,3679600,0,0
280,2020-01-24,88.0,88.6500015258789,87.33999633789062,87.70999908447266,4061100,0,0
281,2020-01-27,86.7300033569336,88.87999725341797,86.19000244140625,88.4000015258789,2805500,0,0
282,2020-01-28,88.5199966430664,88.91000366210938,86.63999938964844,86.76000213623047,3821200,0,0
283,2020-01-29,87.12999725341797,87.4000015258789,86.04000091552734,86.11000061035156,2028400,0,0
284,2020-01-30,85.69999694824219,87.75,85.37000274658203,87.61000061035156,2497000,0,0
285,2020-01-31,87.41999816894531,87.55000305175781,86.2300033569336,87.06999969482422,2704700,0,0
286,2020-02-03,87.55999755859375,88.25,87.13999938964844,87.51000213623047,1906000,0,0
287,2020-02-04,88.25,89.54000091552734,87.86000061035156,88.30999755859375,1588100,0,0
288,2020-02-05,88.83999633789062,89.08000183105469,88.12999725341797,88.70999908447266,1315000,0,0
289,2020-02-06,88.9800033569336,88.9800033569336,87.87000274658203,87.94000244140625,1815700,0,0
290,2020-02-07,87.88999938964844,87.88999938964844,86.66000366210938,87.13999938964844,1286500,0,0
291,2020-02-10,87.18000030517578,87.41999816894531,86.7699966430664,87.18000030517578,1201900,0,0
292,2020-02-11,87.30000305175781,88.70999908447266,87.30000305175781,88.19000244140625,1708200,0,0
293,2020-02-12,88.48999786376953,89.62999725341797,88.25,89.5199966430664,1370600,0,0
294,2020-02-13,89.20999908447266,89.45999908447266,88.04000091552734,89.2699966430664,1200400,0,0
295,2020-02-14,88.88999938964844,88.94999694824219,88.01000213623047,88.68000030517578,1690300,0,0
296,2020-02-18,88.9000015258789,91.16999816894531,88.9000015258789,91.08000183105469,2078300,0,0
297,2020-02-19,91.11000061035156,92.55000305175781,90.5199966430664,91.98999786376953,2154500,0,0
298,2020-02-20,91.91000366210938,93.61000061035156,91.80000305175781,93.22000122070312,1979500,0,0
299,2020-02-21,92.70999908447266,94.08000183105469,92.4000015258789,93.88999938964844,2279000,0,0
300,2020-02-24,92.33999633789062,92.72000122070312,90.0999984741211,91.04000091552734,2805300,0,0
301,2020-02-25,91.62000274658203,92.36000061035156,88.51000213623047,88.66999816894531,2739600,0,0
302,2020-02-26,89.44999694824219,89.87000274658203,87.66000366210938,87.75,2372100,0,0
303,2020-02-27,86.76000213623047,88.19000244140625,84.80999755859375,85.30000305175781,3271100,0,0
304,2020-02-28,83.37000274658203,83.73999786376953,80.69000244140625,83.02999877929688,4580400,0,0
305,2020-03-02,83.2300033569336,84.70999908447266,80.91000366210938,84.55999755859375,3936600,0,0
306,2020-03-03,84.0999984741211,84.75,80.70999908447266,81.81999969482422,3248600,0,0
307,2020-03-04,81.22000122070312,82.48999786376953,78.06999969482422,78.91000366210938,7807300,0,0
308,2020-03-05,78.62999725341797,79.7300033569336,77.51000213623047,77.98999786376953,4237300,0,0
309,2020-03-06,76.0,80.54000091552734,75.55999755859375,80.23999786376953,3879900,0,0
310,2020-03-09,75.44000244140625,84.66000366210938,75.12000274658203,83.51000213623047,5052700,0,0
311,2020-03-10,85.08000183105469,88.94999694824219,84.31999969482422,88.05999755859375,4897100,0,0
312,2020-03-11,86.31999969482422,87.79000091552734,83.05999755859375,83.66999816894531,3444800,0,0
313,2020-03-12,80.12000274658203,81.9000015258789,70.0999984741211,70.3499984741211,6504200,0,0
314,2020-03-13,73.2300033569336,74.8499984741211,69.48999786376953,74.69999694824219,5591600,0,0
315,2020-03-16,68.56999969482422,74.91000366210938,66.8499984741211,67.0199966430664,5182600,0,0
